PM, 9/2/2024, ,4, Short, , , , 0.882, 0.839, , 1.0, 0.75
MRK, 8/19/2024, ,3, Long, , , , 1.0, 0.87, , 0.833, 0.871
MRK, 8/26/2024, ,3, Long, , , , 1.0, 0.87, , 0.833, 0.871
MRK, 9/2/2024, ,3, Long, , , , 1.0, 0.87, , 0.833, 0.871
MRK, 9/2/2024, ,4, Short, , , , 0.938, 0.696, , 1.0, 0.767
SYY, 8/12/2024, ,4, Short, , , , 1.0, 0.815, , 0.875, 0.777
SYY, 8/19/2024, ,4, Short, , , , 1.0, 0.815, , 0.875, 0.777
ED, 8/19/2024, ,3, Short, , , , 1.0, 0.867, , 0.857, 0.798
ED, 8/26/2024, ,3, Short, , , , 1.0, 0.867, , 0.857, 0.798
ED, 9/2/2024, ,3, Long, , , , 1.0, 0.867, , 0.812, 0.798
AMP, 8/12/2024, ,4, Long, , , , 1.0, 0.919, , 0.944, 0.822
AMP, 8/19/2024, ,4, Long, , , , 1.0, 0.919, , 0.944, 0.822
ABT, 8/19/2024, ,3, Long, , , , 1.0, 0.857, , 0.857, 0.817
ABT, 8/26/2024, ,3, Long, , , , 1.0, 0.857, , 0.857, 0.817
ABT, 9/2/2024, ,3, Short, , , , 1.0, 0.857, , 0.778, 0.817
ABT, 8/12/2024, ,4, Long, , , , 1.0, 0.8, , 1.0, 0.833
ABT, 8/19/2024, ,4, Long, , , , 1.0, 0.8, , 1.0, 0.833
ABT, 8/26/2024, ,4, Long, , , , 1.0, 0.8, , 1.0, 0.833
ABT, 9/2/2024, ,4, Long, , , , 1.0, 0.8, , 1.0, 0.833
VRSK, 8/26/2024, ,2, Long, , , , 0.968, 0.714, , 1.0, 0.778
VRSK, 8/12/2024, ,4, Long, , , , 0.948, 1.0, , 1.0, 1.0
VRSK, 8/19/2024, ,4, Long, , , , 0.948, 1.0, , 1.0, 1.0
VRSK, 8/26/2024, ,4, Long, , , , 0.948, 1.0, , 1.0, 1.0
VRSK, 9/2/2024, ,4, Long, , , , 0.948, 1.0, , 1.0, 1.0
COST, 8/12/2024, ,4, Long, , , , 1.0, 0.889, , 0.8, 0.714
COST, 8/19/2024, ,4, Long, , , , 1.0, 0.889, , 0.8, 0.714
COST, 8/26/2024, ,4, Long, , , , 1.0, 0.889, , 0.8, 0.714
COST, 9/2/2024, ,4, Long, , , , 1.0, 0.889, , 0.8, 0.714
VRSN, 8/26/2024, ,2, Short, , , , 1.0, 0.917, , 0.909, 0.913
VRSN, 9/2/2024, ,2, Short, , , , 1.0, 0.917, , 0.909, 0.913
VRSN, 8/19/2024, ,3, Long, , , , 1.0, 0.857, , 0.8, 0.812
VRSN, 8/26/2024, ,3, Short, , , , 1.0, 0.857, , 0.875, 0.812
VRSN, 9/2/2024, ,3, Short, , , , 1.0, 0.857, , 0.875, 0.812
VRSN, 9/2/2024, ,4, Long, , , , 1.0, 0.7, , 0.875, 0.746
ECL, 8/12/2024, ,4, Long, , , , 0.947, 0.828, , 0.857, 0.775
ECL, 8/19/2024, ,4, Long, , , , 0.947, 0.828, , 0.857, 0.775
ECL, 8/26/2024, ,4, Long, , , , 0.947, 0.828, , 0.857, 0.775
ECL, 9/2/2024, ,4, Long, , , , 0.947, 0.828, , 0.857, 0.775
BRO, 8/12/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.857
BRO, 8/19/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.857
BRO, 8/26/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.857
BRO, 9/2/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.857
SO, 8/19/2024, ,3, Long, , , , 1.0, 0.815, , 0.917, 0.804
SO, 8/26/2024, ,3, Long, , , , 1.0, 0.815, , 0.917, 0.804
SO, 9/2/2024, ,3, Long, , , , 1.0, 0.815, , 0.917, 0.804
SO, 8/12/2024, ,4, Long, , , , 0.955, 0.875, , 0.875, 0.795
SO, 8/19/2024, ,4, Long, , , , 0.955, 0.875, , 0.875, 0.795
SO, 8/26/2024, ,4, Long, , , , 0.955, 0.875, , 0.875, 0.795
SO, 9/2/2024, ,4, Long, , , , 0.955, 0.875, , 0.875, 0.795
PEG, 8/26/2024, ,3, Long, , , , 1.0, 0.848, , 0.933, 0.789
PEG, 9/2/2024, ,3, Long, , , , 1.0, 0.848, , 0.933, 0.789
LH, 8/19/2024, ,3, Short, , , , 0.99, 0.889, , 0.889, 0.862
LH, 8/26/2024, ,3, Short, , , , 0.99, 0.889, , 0.889, 0.862
LH, 9/2/2024, ,3, Short, , , , 0.99, 0.889, , 0.889, 0.862
LH, 8/12/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
LH, 8/19/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
LH, 8/26/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
LH, 9/2/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
ABBV, 8/12/2024, ,4, Long, , , , 0.952, 0.867, , 0.812, 0.798
ABBV, 8/19/2024, ,4, Short, , , , 0.952, 0.867, , 0.857, 0.798
ABBV, 8/26/2024, ,4, Long, , , , 0.952, 0.867, , 0.812, 0.798
ABBV, 9/2/2024, ,4, Long, , , , 0.952, 0.867, , 0.812, 0.798
CB, 8/12/2024, ,4, Long, , , , 1.0, 0.903, , 0.875, 0.842
CB, 8/19/2024, ,4, Short, , , , 1.0, 0.903, , 0.857, 0.842
CB, 8/26/2024, ,4, Short, , , , 1.0, 0.903, , 0.857, 0.842
CB, 9/2/2024, ,4, Short, , , , 1.0, 0.903, , 0.857, 0.842
BR, 8/12/2024, ,4, Short, , , , 1.0, 0.846, , 0.889, 0.822
BR, 8/19/2024, ,4, Short, , , , 1.0, 0.846, , 0.889, 0.822
BR, 8/26/2024, ,4, Short, , , , 1.0, 0.846, , 0.889, 0.822
BR, 9/2/2024, ,4, Long, , , , 1.0, 0.846, , 0.786, 0.822
AVY, 8/19/2024, ,3, Long, , , , 1.0, 0.815, , 0.846, 0.782
AVY, 8/26/2024, ,3, Long, , , , 1.0, 0.815, , 0.846, 0.782
AVY, 9/2/2024, ,3, Long, , , , 1.0, 0.815, , 0.846, 0.782
IEX, 8/12/2024, ,4, Long, , , , 0.843, 0.833, , 0.769, 0.83
IEX, 8/19/2024, ,4, Long, , , , 0.843, 0.833, , 0.769, 0.83
IEX, 8/26/2024, ,4, Long, , , , 0.843, 0.833, , 0.769, 0.83
IEX, 9/2/2024, ,4, Long, , , , 0.843, 0.833, , 0.769, 0.83
KDP, 8/26/2024, ,2, Long, , , , 0.97, 0.741, , 0.833, 0.708
KDP, 9/2/2024, ,2, Long, , , , 0.97, 0.741, , 0.833, 0.708
KDP, 8/19/2024, ,3, Long, , , , 0.897, 0.848, , 0.778, 0.717
KDP, 8/26/2024, ,3, Long, , , , 0.897, 0.848, , 0.778, 0.717
KDP, 9/2/2024, ,3, Long, , , , 0.897, 0.848, , 0.778, 0.717
CNP, 8/26/2024, ,3, Long, , , , 0.908, 0.875, , 0.875, 0.795
CNP, 9/2/2024, ,3, Long, , , , 0.908, 0.875, , 0.875, 0.795
CNP, 8/12/2024, ,4, Long, , , , 1.0, 0.929, , 0.929, 0.909
CNP, 8/19/2024, ,4, Long, , , , 1.0, 0.929, , 0.929, 0.909
CNP, 8/26/2024, ,4, Long, , , , 1.0, 0.929, , 0.929, 0.909
CNP, 9/2/2024, ,4, Long, , , , 1.0, 0.929, , 0.929, 0.909
ADP, 8/12/2024, ,4, Short, , , , 0.896, 0.882, , 1.0, 0.75
ADP, 8/19/2024, ,4, Short, , , , 0.896, 0.882, , 1.0, 0.75
ADP, 8/26/2024, ,4, Short, , , , 0.896, 0.882, , 1.0, 0.75
ADP, 9/2/2024, ,4, Long, , , , 0.896, 0.882, , 0.789, 0.75
CSCO, 8/12/2024, ,4, Long, , , , 0.99, 0.846, , 0.846, 0.823
CSCO, 8/19/2024, ,4, Short, , , , 0.99, 0.846, , 0.8, 0.823
CSCO, 8/26/2024, ,4, Short, , , , 0.99, 0.846, , 0.8, 0.823
CSCO, 9/2/2024, ,4, Short, , , , 0.99, 0.846, , 0.8, 0.823
KHC, 9/2/2024, ,3, Short, , , , 0.907, 0.786, , 0.857, 0.731
KHC, 8/12/2024, ,4, Long, , , , 1.0, 0.897, , 0.812, 0.85
KHC, 8/19/2024, ,4, Long, , , , 1.0, 0.897, , 0.812, 0.85
KHC, 8/26/2024, ,4, Long, , , , 1.0, 0.897, , 0.812, 0.85
KHC, 9/2/2024, ,4, Long, , , , 1.0, 0.897, , 0.812, 0.85
EA, 8/19/2024, ,3, Long, , , , 0.928, 0.889, , 0.941, 0.796
EA, 9/2/2024, ,3, Long, , , , 0.928, 0.889, , 0.941, 0.796
EA, 8/12/2024, ,4, Short, , , , 1.0, 0.933, , 0.875, 0.904
EA, 8/19/2024, ,4, Long, , , , 1.0, 0.933, , 0.933, 0.904
EA, 8/26/2024, ,4, Short, , , , 1.0, 0.933, , 0.875, 0.904
EA, 9/2/2024, ,4, Long, , , , 1.0, 0.933, , 0.933, 0.904
SRE, 8/26/2024, ,2, Long, , , , 0.86, 0.786, , 0.786, 0.726
SRE, 9/2/2024, ,2, Long, , , , 0.86, 0.786, , 0.786, 0.726
SRE, 8/12/2024, ,4, Short, , , , 1.0, 0.8, , 0.833, 0.712
SRE, 8/19/2024, ,4, Short, , , , 1.0, 0.8, , 0.833, 0.712
SRE, 8/26/2024, ,4, Short, , , , 1.0, 0.8, , 0.833, 0.712
MDT, 8/19/2024, ,3, Long, , , , 0.921, 0.842, , 0.8, 0.873
MDT, 8/26/2024, ,3, Short, , , , 0.921, 0.842, , 0.923, 0.873
MDT, 9/2/2024, ,3, Short, , , , 0.921, 0.842, , 0.923, 0.873
MDT, 8/12/2024, ,4, Short, , , , 1.0, 0.727, , 0.9, 0.766
MDT, 8/26/2024, ,4, Short, , , , 1.0, 0.727, , 0.9, 0.766
MDT, 9/2/2024, ,4, Short, , , , 1.0, 0.727, , 0.9, 0.766
CMS, 8/19/2024, ,3, Long, , , , 0.87, 0.867, , 0.812, 0.798
CMS, 8/26/2024, ,3, Long, , , , 0.87, 0.867, , 0.812, 0.798
CMS, 9/2/2024, ,3, Short, , , , 0.87, 0.867, , 0.857, 0.798
CMS, 8/12/2024, ,4, Long, , , , 1.0, 0.867, , 0.867, 0.808
CMS, 8/19/2024, ,4, Long, , , , 1.0, 0.867, , 0.867, 0.808
CMS, 8/26/2024, ,4, Long, , , , 1.0, 0.867, , 0.867, 0.808
CMS, 9/2/2024, ,4, Long, , , , 1.0, 0.867, , 0.867, 0.808
OKE, 8/12/2024, ,4, Long, , , , 1.0, 0.882, , 0.789, 0.75
OKE, 8/19/2024, ,4, Long, , , , 1.0, 0.882, , 0.789, 0.75
OKE, 8/26/2024, ,4, Long, , , , 1.0, 0.882, , 0.789, 0.75
OKE, 9/2/2024, ,4, Short, , , , 1.0, 0.882, , 1.0, 0.75
CBOE, 8/12/2024, ,4, Long, , , , 0.944, 0.889, , 0.8, 0.714
CBOE, 8/19/2024, ,4, Short, , , , 0.944, 0.889, , 1.0, 0.714
CBOE, 8/26/2024, ,4, Long, , , , 0.944, 0.889, , 0.8, 0.714
CBOE, 9/2/2024, ,4, Long, , , , 0.944, 0.889, , 0.8, 0.714
LNT, 8/19/2024, ,3, Long, , , , 1.0, 0.867, , 0.867, 0.808
LNT, 8/26/2024, ,3, Long, , , , 1.0, 0.867, , 0.867, 0.808
LNT, 9/2/2024, ,3, Short, , , , 1.0, 0.867, , 0.75, 0.808
LNT, 8/12/2024, ,4, Long, , , , 0.981, 0.8, , 0.75, 0.706
LNT, 8/19/2024, ,4, Long, , , , 0.981, 0.8, , 0.75, 0.706
LNT, 8/26/2024, ,4, Long, , , , 0.981, 0.8, , 0.75, 0.706
LNT, 9/2/2024, ,4, Long, , , , 0.981, 0.8, , 0.75, 0.706
HD, 9/2/2024, ,1, Long, , , , 1.0, 0.75, , 1.0, 0.8
HD, 8/12/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
HD, 8/19/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
HD, 8/26/2024, ,4, Long, , , , 1.0, 0.839, , 0.765, 0.742
HD, 9/2/2024, ,4, Long, , , , 1.0, 0.839, , 0.765, 0.742
ETR, 8/12/2024, ,4, Long, , , , 0.894, 0.909, , 0.833, 0.812
ETR, 8/19/2024, ,4, Long, , , , 0.894, 0.909, , 0.833, 0.812
ETR, 8/26/2024, ,4, Long, , , , 0.894, 0.909, , 0.833, 0.812
ETR, 9/2/2024, ,4, Long, , , , 0.894, 0.909, , 0.833, 0.812
DGX, 8/12/2024, ,4, Long, , , , 0.917, 0.903, , 0.875, 0.842
DGX, 8/19/2024, ,4, Long, , , , 0.917, 0.903, , 0.875, 0.842
DGX, 8/26/2024, ,4, Long, , , , 0.917, 0.903, , 0.875, 0.842
DGX, 9/2/2024, ,4, Short, , , , 0.917, 0.903, , 0.857, 0.842
WEC, 9/2/2024, ,1, Long, , , , 0.966, 0.786, , 0.846, 0.742
WEC, 8/26/2024, ,2, Long, , , , 0.898, 0.762, , 0.8, 0.78
WEC, 9/2/2024, ,2, Short, , , , 0.898, 0.762, , 0.769, 0.78
WEC, 8/12/2024, ,4, Long, , , , 0.989, 0.75, , 0.75, 0.739
WEC, 8/19/2024, ,4, Long, , , , 0.989, 0.75, , 0.75, 0.739
WEC, 8/26/2024, ,4, Long, , , , 0.989, 0.75, , 0.75, 0.739
WEC, 9/2/2024, ,4, Long, , , , 0.989, 0.75, , 0.75, 0.739
BK, 8/19/2024, ,3, Long, , , , 1.0, 0.875, , 0.824, 0.779
BK, 8/26/2024, ,3, Long, , , , 1.0, 0.875, , 0.824, 0.779
BK, 9/2/2024, ,3, Long, , , , 1.0, 0.875, , 0.824, 0.779
JKHY, 8/12/2024, ,4, Long, , , , 1.0, 0.786, , 0.786, 0.726
JKHY, 8/19/2024, ,4, Long, , , , 1.0, 0.786, , 0.786, 0.726
JKHY, 9/2/2024, ,4, Long, , , , 1.0, 0.786, , 0.786, 0.726
SPGI, 8/19/2024, ,3, Long, , , , 1.0, 0.903, , 0.875, 0.842
SPGI, 8/26/2024, ,3, Long, , , , 1.0, 0.903, , 0.875, 0.842
SPGI, 9/2/2024, ,3, Long, , , , 1.0, 0.903, , 0.875, 0.842
SPGI, 8/12/2024, ,4, Long, , , , 0.991, 0.903, , 0.875, 0.842
SPGI, 8/19/2024, ,4, Long, , , , 0.991, 0.903, , 0.875, 0.842
SPGI, 8/26/2024, ,4, Long, , , , 0.991, 0.903, , 0.875, 0.842
SPGI, 9/2/2024, ,4, Short, , , , 0.991, 0.903, , 0.857, 0.842
